index_P,lesk_list
288,",'suppose.v.01', 'last.v.01', 'workweek.n.01', 'cereal.n.03', 'management.n.02', 'committee.n.02', 'agree.v.02', 'turn.v.08', 'metric_ton.n.01', 'tip.v.03', 'pale_yellow.n.01', 'weekly.n.01', 'tender.v.04', 'april.n.01', 'whitethorn.n.01','besides.r.02', 'indicate.v.02', 'planned.a.01', 'let.v.01', 'turn.v.08', 'another.s.01', 'metric_ton.n.01', 'april.n.01',,'british.n.01', 'government.n.03', 'use.v.01', 'turn.v.08', 'metric_ton.n.01', 'whitethorn.n.01', 'june.n.01', 'british.n.01', 'treatment.n.01', 'storehouse.n.01', 'prevent.v.02', 'marketplace.n.02', 'price.n.05', 'rise.v.13','however.r.01', 'source.n.07', 'suppose.v.01', 'perpetration.n.01', 'want.v.03', 'revue.n.01', 'marketplace.n.02', 'situation.n.03', 'nearer.r.01', 'time.v.05', 'give.v.43', 'approval.n.04','perpetration.n.01', 'given.s.01', 'newfangled.s.01', 'world_power.n.01', 'last.v.01', 'year.n.03', 'master.v.04', 'turn.v.08', 'treatment.n.01', 'cereal.n.03', 'marketplace.n.02', 'source.n.07', 'note.v.04','take_after.v.02', 'last.v.01', 'workweek.n.01', 'committee.n.02', 'meeting.n.03', 'uranium.n.01', 'thousand.s.01', 'ministry.n.04', 'agribusiness.n.01', 'suppose.v.01', 'perpetration.n.01', 'given.s.01', 'assurance.n.04', 'extra.s.03', 'quantity.n.03', 'treatment.n.01', 'pale_yellow.n.01', 'take.v.27', 'available.s.03', 'whitethorn.n.01', 'june.n.01','besides.r.02', 'suppose.v.01', 'imagine.v.01', 'monthly.r.01', 'turn.v.08', 'least.a.01', 'metric_ton.n.01', 'depend.v.01', 'state.n.06', 'marketplace.n.02','star.n.04', 'far-flung.s.01', 'premise.n.01', 'perpetration.n.01', 'actually.r.04', 'approved.s.01', 'turn.v.08', 'metric_ton.n.01', 'trey.n.02', 'month.n.02', 'april.n.01', 'whitethorn.n.01', 'june.n.01', 'last.v.01', 'workweek.n.01', 'meeting.n.03',,"
289,",,'speak.v.05', 'theater.n.01', 'agribusiness.n.01', 'subcommittee.n.01', 'hearing.n.05', 'use.v.01', 'security.n.04', 'suppose.v.01', 'issue.n.04', 'billion.n.03', 'security.n.04', 'fiscal.a.01', 'year.n.03', 'solution.n.02', 'government.n.03', 'spending.n.01',,'use.v.01', 'security.n.04', 'suppose.v.01', 'closely.r.03', 'entire.s.03', 'crop.v.05', 'put_option.n.02', 'loanword.n.01', 'confiscate.s.01', 'commodity.n.01', 'credit_rating.n.01', 'pot.n.07', 'three_hundred.s.01',,'ask.v.07', 'remark.n.01', 'recent.s.01', 'survey.n.01', 'general.v.01', 'accounting.n.04', 'position.n.06', 'reason.v.01', 'security.n.04', 'solution.n.02', 'web.v.01', 'price.n.03', 'government.n.03', 'suppose.v.01', 'government_accounting_office.n.01', 'undervalue.v.01', 'profit.v.01', 'overstate.v.01', 'price.n.03', 'security.n.04', 'program.v.02','suppose.v.01', 'security.n.04', 'promote.v.01', 'loanword.n.01', 'submission.n.01', 'besides.r.02', 'promote.v.01', 'fleshy.s.01', 'loanword.n.01', 'redemption.n.02', 'rather.r.01', 'forfeit.n.03',,,,,'tell.v.03', 'subcommittee.n.01', 'chair.v.01', 'rep.n.02','department_of_agriculture.n.01', 'work.v.05', 'train.v.02', 'official.s.05', 'response.n.07', 'government_accounting_office.n.01', 'survey.n.01', 'security.n.04', 'render.v.06', 'subcommittee.n.01', 'completed.s.02',,"
290,",'texture.n.05', 'security.n.04', 'need.v.03', 'survey.n.01', 'suppose.v.01', 'generic.n.02', 'texture.n.05', 'security.n.04', 'turn.v.08', 'marketplace.n.02', 'rate.v.01', 'uranium.n.01', 'security.n.04', 'program.v.02', 'fully.r.01', 'effect.n.06', 'commodity.n.01', 'harmonize.v.01', 'survey.n.01', 'sparkle.n.01', 'commodity.n.01', 'iraqi_national_congress.n.01','agribusiness.n.01', 'department.n.03', 'take.v.27', 'texture.n.05', 'lack.n.01', 'payment.n.01', 'pay_up.v.01', 'state.n.04', 'diversion.n.02', 'payment.n.01', 'two.n.01', 'third_gear.n.01', 'security.n.04', 'one.s.06', 'third_gear.n.01', 'cash.v.01', 'ratio.n.01', 'fiscal.a.01', 'year.n.03', 'carroll.n.01', 'president.n.05', 'sparkle.n.01', 'commodity.n.01', 'tell.v.03', 'theater.n.01', 'agribusiness.n.01', 'subcommittee.n.01', 'hearing.n.05', 'security.n.04',,'sparkle.n.01', 'survey.n.01', 'security.n.04', 'test.v.01', 'two.n.01', 'potential.a.01', 'scenario.n.03', 'turn.v.07', 'season.n.03', 'zero.n.04', 'security.n.04', 'subject.n.06', 'security.n.04', 'program.v.02', 'simulate.v.03', 'option.n.02', 'subject.n.06', 'tag.v.01', 'adequate.a.01', 'security.n.04', 'subject.n.06', 'sufficient.a.01', 'security.n.04', 'turn.v.08', 'texture.n.05', 'price.n.05', 'artificially.r.01', 'support.v.09', 'marketplace.n.02', 'deficit.n.01', 'due.n.02', 'acreage.n.01', 'reduction.n.03', 'program.v.02', 'government.n.03', 'keep.v.01','survey.n.01', 'show.v.12', 'sum.n.02', 'texture.n.05', 'use.v.01', 'adequate.a.01', 'security.n.04', 'scenario.n.03', 'surpass.v.02', 'zero.n.04', 'security.n.04', 'scenario.n.03', 'percentage.n.01','usage.n.03', 'markedly.r.01', 'texture.n.05', 'usage.n.03', 'security.n.04', 'program.v.02', 'estimate.v.01', 'surpass.v.02', 'zero.n.04', 'security.n.04', 'subject.n.06', 'percentage.n.01',,'sparkle.n.01', 'survey.n.01', 'suppose.v.01', 'million.n.02', 'percentage.n.01', 'write.v.08', 'result.v.03', 'little.s.05', 'government.n.03', 'storehouse.n.01', 'price.n.03','survey.n.01', 'besides.r.02', 'estimate.v.01', 'government.n.03', 'texture.n.05', 'store.n.02', 'adequate.a.01', 'security.n.04', 'subject.n.06', 'million.n.02', 'bushel.n.02', 'zero.n.04', 'security.n.04', 'subject.n.06', 'goal.n.01', 'period.n.07', 'test.v.01','sparkle.n.01', 'survey.n.01', 'suppose.v.01', 'security.n.04', 'license.n.04', 'marketplace.n.02', 'price.n.05', 'spill.n.04', 'loanword.n.01', 'level.n.05', 'lower.v.01', 'price.n.05', 'increase.n.03', 'commodity.n.01', 'usage.n.03', 'reduce.v.15', 'web.v.01', 'price.n.03', 'security.n.04', 'cash.v.01',,"
291,",'international.n.01', 'weather.v.04', 'crop.v.05', 'summary.n.01', 'means.n.01', 'suppose.v.01', 'region.n.05', 'precipitation.n.04', 'hide.n.01', 'rain.v.01',,,'means.n.01', 'suppose.v.01', 'modal.s.01', 'weekly.n.01', 'temperature.n.01', 'normal.s.04', 'southeast.n.04', 'dear.s.02', 'normal.s.04', 'southwest.n.04', 'northeast.n.04', 'normal.s.04', 'northwest.n.04',,,"
292,",'elevator.n.01', 'loading.n.05', 'wait.v.04', 'continental.a.04', 'texture.n.05', 'mississippi.n.02', 'river.n.01', 'myrtle.n.01', 'grove.n.02', 'texture.n.05', 'elevator.n.01', 'loading.n.05', 'wait.v.04', 'charles.n.09', 'substitute.n.02', 'elevator.n.01', 'corporation.n.01', 'peavey.n.01', 'colorado.n.01', 'texture.n.05', 'texture.n.05', 'port.v.08', 'allen.n.03', 'zen.n.02',"
293,",'dawn.v.03', 'plosion.n.01', 'rip.v.04', 'wooden.s.02', 'elevator.n.01', 'unfold.v.04', 'open_fire.v.01', 'take_after.v.02', 'stay.v.04', 'sunburn.v.01', 'late.a.05', 'good_morning.n.01', 'incorporate.v.02', 'harmonize.v.01', 'starter.n.03', 'patrol.v.01', 'department.n.03','wound.n.02', 'reported.a.01', 'lone.s.03', ""rock_'n'_roll.n.01"", 'chicken_coop.n.01', 'facility.n.05','starter.n.03', 'suppose.v.01', 'elevator.n.01', 'meet.v.04', 'corn_whiskey.n.01', 'nearby.s.01', 'dry.v.02', 'building.n.04', 'keep.v.01', 'soy.n.04', 'open_fire.v.01','plosion.n.01', 'second_gear.n.01', 'four-spot.n.01', 'sidereal_day.n.01', 'iowa.n.03', 'take_after.v.02', 'end.n.06', 'sagittarius.n.01', 'daniel.n.02', 'midland.n.02', 'elevator.n.01', 'burlington.n.01', 'last.v.01', 'friday.n.01',,"
294,",'department.n.03', 'suppose.v.01', 'natural_process.n.01', 'take.v.39', 'request.n.01', 'iraq.n.01', 'state.n.06', 'trade.v.03', 'organization.n.04', 'texture.n.05', 'grocery.n.02','guarantee.n.03', 'wrinkle.n.01', 'sale.n.05', 'corn_whiskey.n.01', 'reduce.v.15', 'wrinkle.n.01', 'oilseed.n.01', 'zero.n.04',,,"
295,",'agent.n.05', 'suppose.v.01', 'pitch.n.02', 'northern.n.01', 'spring.n.04', 'pale_yellow.n.01', 'include.v.03', 'july.n.01', 'metric_ton.n.01', 'august.s.01', 'metric_ton.n.01', 'september.n.01', 'metric_ton.n.01','pitch.n.02', 'hard.s.10', 'red.s.01', 'winter.v.01', 'pale_yellow.n.01', 'june.n.01', 'metric_ton.n.01', 'july.n.01', 'metric_ton.n.01', 'september.n.01', 'metric_ton.n.01',,,"
296,",'department_of_agriculture.n.01', 'suppose.v.01', 'natural_process.n.01', 'take.v.39', 'request.n.01', 'bangladesh.n.01', 'government.n.03', 'reduce.v.15', 'guarantee.n.03', 'wrinkle.n.01', 'empower.v.01', 'pale_yellow.n.01', 'sale.n.05', 'produce.v.02', 'newfangled.s.01', 'wrinkle.n.01', 'vegetable.n.02', 'vegetable_oil.n.01',,,,"
297,"'department_of_agriculture.n.01', 'announce.v.04', 'world.n.06', 'marketplace.n.02', 'rice.v.01', 'price.n.05', 'uranium.n.01', 'agribusiness.n.01', 'department.n.03', 'announced.s.01', 'take_after.v.02', 'prevailing.s.01', 'world.n.06', 'marketplace.n.02', 'price.n.05', 'rice.v.01', 'loanword.n.01', 'rate.v.02', 'footing.n.02', 'previous.s.03', 'price.n.05', 'long.r.01', 'texture.n.05', 'wholly.r.01', 'kernel.n.02', 'connecticut.n.01', 'pound.n.01', 'volt.n.01', 'medium.s.02', 'texture.n.05', 'wholly.r.01', 'kernel.n.02', 'connecticut.n.01', 'pound.n.01', 'volt.n.01', 'shortstop.n.02', 'texture.n.05', 'wholly.r.01', 'kernel.n.02', 'connecticut.n.01', 'pound.n.01', 'volt.n.01', 'unwrap.v.02', 'kernel.n.02', 'connecticut.n.01', 'pound.n.01', 'volt.n.01', 'repayment.n.02', 'rate.v.02', 'crop.v.05', 'warehouse.v.01', 'farm.v.01', 'store.v.02', 'rice.v.01', 'loanword.n.01', 'high.s.07', 'world.n.06', 'price.n.05', 'percentage.n.01', 'loanword.n.01', 'rate.v.02', 'hundredweight.n.03',,,"
298,"'texture.n.05', 'ship.v.05', 'loading.n.05', 'portland.n.02', 'six.s.01', 'texture.n.05', 'ship.v.05', 'loading.n.05', 'six.s.01', 'ship.v.05', 'wait.v.04', 'warhead.n.01', 'portland.n.02', 'harmonize.v.01', 'portland.n.02', 'merchant.n.01', 'switch_over.v.01',,"
299,"'april.n.01', 'april.n.01',"
300,",'interior.s.05', 'texture.n.05', 'soy.n.04', 'price.n.05', 'moved.a.01', 'county.n.02', 'establish.v.08', 'entirely.r.02', 'texas.n.01', 'gulf.n.03','prior.n.01', 'variety.n.06', 'county.n.02', 'price.n.05', 'besides.r.02', 'price.v.02', 'amarillo.n.01', 'marketplace.n.02','variety.n.06', 'take.v.27', 'well.r.11', 'reflect.v.06', 'local_anesthetic.n.01', 'marketplace.n.02', 'stipulate.v.01', 'suppose.v.01', 'deputy.n.04', 'administrator.n.03', 'commodity.n.01', 'operations.n.01', 'department_of_agriculture.n.01','texas.n.01', 'gulf.n.03', 'constantly.r.02', 'prevailing.s.01', 'marketplace.n.02', 'county.n.02','amarillo.n.01', 'never.r.02', 'become.v.02', 'effective.s.03', 'sphere.n.01', 'tell.v.03',,"
302,",'jordan.n.01', 'today.r.02', 'offer.v.07', 'metric_ton.n.01', 'soft.s.10', 'pale_yellow.n.01', 'metric_ton.n.01', 'hard.s.10', 'red.s.01', 'winter.v.01', 'pale_yellow.n.01', 'tender.v.04', 'metric_ton.n.01', 'hard.s.10', 'soft.s.10', 'pale_yellow.n.01', 'april.n.01', 'november.n.01', 'cargo.n.01',,,"
304,",'minister.v.02', 'agree.v.02', 'system.n.02', 'farmer.n.01', 'stipulate.v.01', 'compensation.n.02', 'switch_off.v.01', 'output.v.01', 'specific.n.02', 'product.n.05', 'least.a.01', 'percentage.n.01','plan.v.03', 'initially.r.01', 'use.v.01', 'cereal.n.03', 'gripe.v.01', 'veal.n.01', 'wine.n.02', 'lend.v.01','cereal.n.03', 'farmer.n.01', 'achieve.v.01', 'output.v.01', 'switch_off.v.01', 'reduce.v.15', 'acreage.n.01', 'cattle.n.01', 'farmer.n.01', 'reduce.v.15', 'phone_number.n.01', 'read/write_head.n.01', 'switch_off.v.01', 'yield.n.03','subject.n.06', 'farmer.n.01', 'undertake.v.05', 'tone.n.09', 'capacity.n.06', 'output.v.01', 'product.n.05', 'excess.n.01', 'european_union.n.01','source.n.07', 'suppose.v.01', 'payment.n.01', 'level.n.05', 'so_far.r.03', 'repair.v.01', 'plan.v.03', 'cover.v.15', 'farmer.n.01', 'loss.n.06', 'profit.v.02', 'production.n.06', 'waive.v.01','source.n.07', 'suppose.v.01', 'software.n.01', 'besides.r.02', 'incorporate.v.02', 'provision.n.04', 'payment.n.01', 'farmer.n.01', 'venture.v.01', 'program.v.02', 'target.v.01', 'protecting.s.01', 'improving.s.01', 'environment.n.02','besides.r.02', 'mean.v.07', 'valuation_reserve.n.01', 'lupus_erythematosus.n.01', 'privilege.v.01', 'farm.v.01', 'sphere.n.01', 'unfold.v.03', 'crop.v.05','stage.v.01', 'valuation_reserve.n.01', 'available.s.03', 'livestock.n.01','software.n.01', 'provide.v.06', 'research.v.01', 'option.n.02', 'farm.v.01', 'technique.n.01', 'source.n.07', 'lend.v.01','news_program.n.01', 'conference.n.03', 'european_union.n.01', 'farm.v.01', 'commissioner.n.02', 'suppose.v.01', 'perpetration.n.01', 'besides.r.02', 'working.s.03', 'proposal.n.03', 'enable.v.01', 'european_union.n.01', 'penis.n.01', 'state.n.06', 'provide.v.06', 'target.v.01', 'income.n.01', 'support.v.09', 'relatively.r.01', 'poor_people.n.01', 'farmer.n.01','give.v.43', 'fully.r.01', 'detail.v.02', 'suppose.v.01', 'penis.n.01', 'state.n.06', 'aid.n.03', 'subject.n.08', 'rigorous.s.01', 'standard.n.01', 'keep_off.v.01', 'distortion.n.04', 'contest.n.01','european_union.n.01', 'payment.n.01', 'target.v.01', 'help_oneself.v.01', 'farmer.n.01', 'survive.v.02', 'unmanageable.a.02', 'period.n.07', 'european_union.n.01', 'undertake.v.02', 'trouble.n.01', 'excess.n.01', 'production.n.06','perpetration.n.01', 'retreat.v.04', 'software.n.01', 'agree.v.02', 'last.v.01', 'night.n.06', 'proposal.n.03', 'pay_up.v.01', 'early.a.05', 'retirement.n.03', 'pension.v.01', 'farmer.n.01', 'aged.s.05', 'give.v.43', 'production.n.06','take.v.39', 'state.n.04', 'wholly.r.01', 'farm.v.01', 'production.n.06', 'rather.r.01', 'spend.v.01', 'successor.n.03', 'receive.v.10', 'generous.s.03', 'payment.n.01','suppose.v.01', 'perpetration.n.01', 'plan.v.03', 'stage.v.01', 'revised.s.02', 'proposal.n.03', 'along.r.05', 'wrinkle.n.01', 'feat.n.01', 'receive.v.02', 'system.n.02', 'agree.v.02',,"
305,",'variety_show.n.01', 'winter.v.01', 'pale_yellow.n.01', 'sow.v.02', 'poland.n.01', 'survive.v.02', 'reason.n.01', 'temperature.n.01', 'moo.v.01', 'minus.a.01', 'degree.n.07', 'vitamin_c.n.01', 'spokesman.n.01', 'teresa.n.01', 'tell.v.03','though.r.01', 'early.a.05', 'flimsy.s.03', 'protective.s.03', 'layer.v.01', 'snow.n.02', 'chiefly.r.01', 'melted.a.01', 'february.n.01', 'tune.n.01', 'temperature.n.01', 'minus.a.01', 'vitamin_c.n.01', 'harmful.a.01', 'suppose.v.01', 'lend.v.01', 'pale_yellow.n.01', 'still.r.04', 'discredited.s.01', 'cold.s.12', 'while.n.01', 'master_of_architecture.n.01', 'april.n.01', 'young.n.04', 'shoot.v.18', 'whitethorn.n.01', 'unwrap.v.02', 'night.n.06', 'frost.v.02',,"
306,",,,'rain.v.01', 'wrong.n.02', 'gamboge.n.02', 'sunflower.n.01', 'sorghum.n.03', 'crop.v.05', 'though.r.01', 'fresh.s.04', 'rain.v.01', 'similar.s.04', 'volume.n.06', 'reduce.v.15', 'yield.n.03', 'switch_off.v.01', 'sum.n.02', 'volume.n.06', 'year.n.03', 'harvest.v.02','rain.n.01', 'quantify.v.02', 'millimeter.n.01', 'aire.n.01', 'fleshy.s.01', 'rain.v.01', 'state.n.01', 'western.n.02', 'sector.n.05', 'millimeter.n.01', 'cordoba.n.04', 'millimeter.n.01', 'louisiana.n.01', 'millimeter.n.01', 'santa_claus.n.01', 'iron.n.01', 'millimeter.n.01', 'rio_de_janeiro.n.01', 'five-spot.n.03', 'millimeter.n.01', 'five-spot.n.03', 'millimeter.n.01','rain.v.01', 'recorded.s.02', 'taiwan.n.02','agriculturist.n.01', 'revision.n.02', 'estimate.n.05', 'sum.n.02', 'volume.n.06', 'coarse.s.03', 'texture.n.05', 'harvest.v.02', 'last.v.01', 'workweek.n.01', 'estimate.n.05','gamboge.n.02', 'harvest.v.02', 'stay.v.04', 'moving.a.03', 'forward.n.02', 'central.n.01', 'santa_claus.n.01', 'iron.n.01', 'though.r.01', 'slowly.r.01','agriculturist.n.01', 'harvest.v.02', 'seven-spot.n.01', 'nine.s.01', 'percentage.n.01', 'sum.n.02', 'plant.v.05', 'sphere.n.01', 'compare.v.04', 'five-spot.n.03', 'seven-spot.n.01', 'percentage.n.01', 'last.v.01', 'workweek.n.01','sum.n.02', 'gamboge.n.02', 'sphere.n.01', 'plant.v.05', 'harvest.v.02', 'estimate.v.01', 'hectare.n.01', 'two.n.01', 'seven-spot.n.01', 'percentage.n.01', 'lupus_erythematosus.n.01', 'hectare.n.01', 'plant.v.05', 'harvest.v.02','gamboge.n.02', 'production.n.06', 'expect.v.05', 'sum.n.02', 'metric_ton.n.01', 'sink.v.01', 'percentage.n.01', 'metric_ton.n.01', 'harvest.v.02', 'last.v.01', 'year.n.03', 'harmonize.v.01', 'secret.s.05', 'estimate.n.05', 'percentage.n.01', 'lower.v.01', 'last.v.01', 'year.n.03', 'volume.n.06', 'harmonize.v.01', 'official.s.05', 'trope.n.01',,'two.n.01', 'hectare.n.01', 'plant.v.05', 'sunflower.n.01', 'harvest.v.02', 'percentage.n.01', 'last.v.01', 'year.n.03', 'trope.n.01', 'hectare.n.01','sunflower.n.01', 'production.n.06', 'expect.v.05', 'sum.n.02', 'metric_ton.n.01', 'mean.v.07', 'sink.v.01', 'percentage.n.01', 'record.v.01', 'metric_ton.n.01', 'harvest.v.02', 'harvest.v.02','texture.n.05', 'sorghum.n.03', 'harvest.v.02', 'edge.v.01', 'forward.n.02', 'two.n.01', 'four-spot.n.01', 'percentage.n.01', 'sum.n.02', 'plant.v.05', 'sphere.n.01', 'harvest.v.02', 'hectare.n.01', 'percentage.n.01', 'lupus_erythematosus.n.01', 'hectare.n.01', 'plant.v.05', 'harvest.v.02','sorghum.n.03', 'production.n.06', 'expect.v.05', 'sum.n.02', 'metric_ton.n.01', 'percentage.n.01', 'lupus_erythematosus.n.01', 'million.n.01', 'metric_ton.n.01', 'harvest.v.02','soy.n.04', 'production.n.06', 'line.n.29', 'expect.v.05', 'strike.v.04', 'record.v.01', 'metric_ton.n.01', 'mean.v.07', 'increase.n.03', 'percentage.n.01', 'last.v.01', 'year.n.03', 'record.v.01', 'trope.n.01', 'metric_ton.n.01', 'harmonize.v.01', 'secret.s.05', 'estimate.n.05','official.s.05', 'trope.n.01', 'put_option.n.02', 'last.v.01', 'year.n.03', 'soy.n.04', 'harvest.v.02', 'metric_ton.n.01','soy.n.04', 'crop.v.05', 'reported.a.01', 'by_and_large.r.01', 'well.r.01', 'stipulate.v.01', 'help_oneself.v.01', 'abundant.a.01', 'rain.v.01', 'senior_high_school.n.01', 'temperature.n.01','sum.n.02', 'soy.n.04', 'plant.v.05', 'sphere.n.01', 'harvest.v.02', 'expect.v.05', 'record.v.01', 'hectare.n.01', 'percentage.n.01', 'last.v.01', 'year.n.03', 'harvest.v.02', 'trope.n.01', 'hectare.n.01',,"
307,",'senator.n.01', 'propose.v.01', 'crop.v.05', 'sen.n.01', 'roentgen.n.01', 'suppose.v.01', 'intend.v.01', 'offer.v.07', 'legislation.n.01', 'let.v.01', 'producer.n.02', 'pale_yellow.n.01', 'cotton.v.01', 'rice.v.01', 'receive.v.10', 'least.a.01', 'percentage.n.01', 'lack.n.01', 'payment.n.01', 'regardless.r.01', 'much.r.04', 'plant.v.05','tell.v.03', 'united_states_senate.n.01', 'agribusiness.n.01', 'committee.n.02', 'use.v.01', 'visit.v.03', 'provision.n.04', 'crop.v.05', 'support.v.09', 'reagan.n.01', 'presidency.n.01', 'write.v.08', 'approximately.r.01', 'include.v.03', 'corn_whiskey.n.01', 'payment.n.01', 'pale_yellow.n.01', 'cotton.v.01','minnesota.n.01', 'senator.n.01', 'suppose.v.01', 'might.n.01', 'offer.v.07', 'poster.n.01', 'united_states_senate.n.01', 'floor.n.10', 'conference.n.03', 'committee.n.02', 'theater.n.01', 'representative.n.01', 'event.n.03', 'similar.s.04', 'poster.n.01', 'theater.n.01', 'agribusiness.n.01', 'committee.n.02', 'approved.s.01', 'soundbox.n.01','tell.v.03', 'neither.s.01', 'uranium.n.01', 'agribusiness.n.01', 'department.n.03', 'decide.v.01', 'lack.n.01', 'payment.n.01', 'undertake.v.03', 'farmer.n.01', 'might.n.01', 'choose.v.03', 'plant.v.05', 'uncouple.v.01', 'system.n.02','payment.n.01', 'stage_set.n.01', 'promote.v.02', 'uncouple.v.01', 'marketplace.n.02', 'price.n.05', 'conceivably.r.01', 'upgrade.n.04', 'thereby.r.01', 'run.v.03', 'diminished.s.03', 'lack.n.01', 'payment.n.01',,,"
308,"'suppose.v.01', 'soviet.n.01', 'winter.v.01', 'crop.v.05', 'need.v.03', 'reseed.v.02', 'government.n.03', 'daily.r.01', 'suppose.v.01', 'considerable.a.01', 'sum.n.02', 'soviet.n.01', 'winter.v.01', 'crop.v.05', 'need.v.03', 'reseed.v.02', 'state.n.06', 'texture.n.05', 'harvest.v.02', 'target.v.01', 'metric_ton.n.01', 'easy.r.03', 'meet.v.04','give.v.43', 'trope.n.01', 'newspaper.n.03', 'suppose.v.01', 'considerable.a.01', 'part.n.11', 'winter.v.01', 'crop.v.05', 'reseed.v.02', 'produce.v.02', 'supernumerary.n.02', 'feat.n.01', 'sphere.n.01', 'spring.n.04','soviet.n.01', 'union.n.11', 'previously.r.01', 'suppose.v.01', 'nine.s.01', 'hectare.n.01', 'winter.v.01', 'texture.n.05', 'reseed.v.02',,,'workweek.n.01', 'sudden.a.01', 'spill.n.04', 'temperature.n.01', 'moved.a.01', 'large.r.01', 'part.n.11', 'state.n.04', 'induce.v.02', 'fieldwork.n.01', 'stop_consonant.n.01', 'ukraine.n.01', 'suppose.v.01', 'lend.v.01', 'temperature.n.01', 'hide.n.01', 'moo.v.01', 'minus.a.01', 'centigrade.a.01', 'belarus.n.01',,"
309,"'uranium.n.01', 'united_states_senate.n.01', 'panel.n.05', 'take.v.27', 'conservation.n.03', 'exemption.n.02', 'uranium.n.01', 'united_states_senate.n.01', 'agribusiness.n.01', 'committee.n.02', 'approved.s.01', 'standard.n.01', 'exempt.v.01', 'farmer.n.01', 'plant.v.05', 'alfalfa.n.01', 'supergrass.n.01', 'legume.n.03', 'federal.n.01', 'conservation.n.03', 'requirement.n.01','sen.n.01', 'edward.n.01', 'snout.n.01','suppose.v.01', 'poster.n.01', 'repair.v.01', 'equity.n.02', 'federal.n.01', 'farmer.n.01', 'rule.v.06', 'presently.r.02', 'traverse.v.03', 'farm.v.01', 'program.v.02', 'profit.v.01', 'farmer.n.01', 'plant.v.05', 'alfalfa.n.01', 'supergrass.n.01', 'legume.n.03', 'interrupt.v.01', 'planting.n.02', 'rowing.n.01', 'crop.v.05','official.s.05', 'run.v.03', 'conservation.n.03', 'group.v.02', 'ask.v.07', 'name.v.02', 'suppose.v.01', 'panel.n.05', 'move.v.16', 'unfortunate.n.01', 'first_gear.n.01', 'natural_process.n.01', 'star.n.04', 'exemption.n.02', 'potentially.r.01', 'million.n.02', 'acre.n.03', 'turf.n.01', 'fellow.n.06', 'rule.n.01', 'established.s.04', 'farm.v.01', 'poster.n.01',,"
310,",'harmonize.v.01', 'late.a.05', 'statistics.n.01', 'main.n.02', 'buyer.n.01', 'italy.n.01', 'period.n.07', 'west.n.08', 'germany.n.01', 'metric_ton.n.01', 'netherlands.n.01', 'belgium.n.01', 'metric_ton.n.01','british.n.01', 'greek.n.02', 'significance.n.02', 'french.v.01', 'soft.s.10', 'pale_yellow.n.01', 'period.n.07', 'year.n.03', 'ago.s.01', 'level.n.05',,'spanish.n.02', 'purchase.n.03', 'sharply.r.02', 'metric_ton.n.01', 'metric_ton.n.01', 'period.n.07', 'portugal.n.01', 'buy.v.01', 'metric_ton.n.01', 'compare.v.04', 'zero.n.04','suppose.v.01', 'sink.v.01', 'french.v.01', 'export.v.02', 'residential_district.n.01', 'state.n.04', 'due.n.02', 'british.n.01', 'contest.n.01',,"
311,",'tell.v.03', 'journalist.n.01', 'estimate.n.05', 'unchanged.a.01', 'goal.n.01', 'february.n.01', 'previous.s.03', 'month.n.02', 'export.v.02', 'prognosis.n.01', 'lower.v.01', 'metric_ton.n.01','visit.v.03', 'european_union.n.01', 'perpetration.n.01', 'help_oneself.v.01', 'award.n.01', 'large.s.06', 'volume.n.06', 'export.v.02', 'security.n.04', 'suppose.v.01', 'wall_socket.n.01', 'unfold.v.04', 'french.v.01', 'barley.n.01', 'large.r.01', 'sum.n.02', 'put_option.n.02', 'treatment.n.01','small.r.01', 'sum.n.02', 'french.v.01', 'barley.n.01', 'already.r.01', 'put_option.n.02', 'treatment.n.01', 'suppose.v.01', 'particularization.n.01', 'sum.n.02','mentality.n.01', 'french.v.01', 'gamboge.n.02', 'well.r.11', 'export.v.02', 'not.r.01', 'european_union.n.01', 'state.n.04', 'put_option.n.02', 'metric_ton.n.01', 'metric_ton.n.01', 'goal.n.01', 'january.n.01', 'metric_ton.n.01',,,"
